address,province,city,district,latitude,count,longitude
云南省玉溪市红塔区北城街道大石板社区秧草塘村,云南省,玉溪市,红塔区,24.46442,2,102.51207
云南省玉溪市红塔区红塔大道50号华瑞小区,云南省,玉溪市,红塔区,24.34077,4,102.5463
云南省玉溪市红塔区玉景苑小区,云南省,玉溪市,红塔区,24.336069,1,102.5448
云南省保山市龙陵县镇安镇,云南省,保山市,龙陵县,24.695606,1,98.825541
云南省昆明市官渡区小板桥街道海伦国际小区,云南省,昆明市,官渡区,24.9666,1,102.745262
云南省昆明市官渡区矣六街道星体花园北区13栋1单元,云南省,昆明市,官渡区,24.94033,-1,102.76237
云南省昆明市官渡区昆船花园小区13栋2单元,云南省,昆明市,官渡区,24.98933,-1,102.796402
云南省昆明市官渡区太和街道都市坐标小区B栋7单元,云南省,昆明市,官渡区,25.018049,1,102.729591
云南省昆明市盘龙区金殿武家村,云南省,昆明市,盘龙区,25.11624,1,102.75205
云南省昆明市盘龙区联盟街道云锡花园2区西区1栋2单元,云南省,昆明市,盘龙区,25.073754,-1,102.736771
云南省昆明市东川区乌龙镇黄包谷地小组,云南省,昆明市,东川区,25.975559,-1,103.079323
云南省昆明市五华区红云街道江东耀龙康城8栋3单元,云南省,昆明市,五华区,25.098301,-1,102.730247
云南省昆明市五华区丰宁街道春晖小区颐达园3栋,云南省,昆明市,五华区,25.050993,-1,102.676552
云南省昆明市寻甸县塘子街道办事处小瓦匠村,云南省,昆明市,寻甸县,25.476999,-1,103.28363
云南省昆明市西山区永昌街道绿地大城天地4B商业22-5栋,云南省,昆明市,西山区,25.013399,-1,102.701859
云南省昆明市安宁市金方街道恒大金碧天下博雅苑25栋1单元,云南省,昆明市,安宁市,24.889889,-1,102.562363
云南省德宏傣族景颇族自治州瑞丽市五缘玉城小区,云南省,德宏傣族景颇族自治州,瑞丽市,24.024139,1,97.84623
云南省西双版纳傣族自治州景洪市 景洪农场三分场,云南省,西双版纳傣族自治州,景洪市,21.985604,1,100.753408
云南省西双版纳傣族自治州景洪市曼哈乡曼伞囡村,云南省,西双版纳傣族自治州,景洪市,21.837132,1,100.93062
吉林省吉林市丰满区中海紫御江城,吉林省,吉林市,丰满区,43.83226,1,126.567146
吉林省吉林市昌邑区吉炭小区,吉林省,吉林市,昌邑区,43.87487,1,126.581863
吉林省长春市净月区万科城,吉林省,长春市,净月区,43.799,3,125.386841
吉林省长春市净月区博学路东城国际花园小区,吉林省,长春市,净月区,43.819729,1,125.414871
吉林省长春市净月区净月街道财苑家园,吉林省,长春市,净月区,43.82782,2,125.446503
吉林省长春市朝阳区崇智路694号,吉林省,长春市,朝阳区,43.89262,5,125.31404
吉林省长春市绿园区西城国际公馆,吉林省,长春市,绿园区,43.898201,1,125.268951
吉林省长春市绿园区长客花园,吉林省,长春市,绿园区,43.909149,1,125.289803
吉林省长春市高新区中海兰庭小区,吉林省,长春市,高新区,43.783199,1,125.259201
吉林省长春市高新区北湾新城,吉林省,长春市,高新区,43.969044,1,125.391365
吉林省长春市高新区恒大绿洲,吉林省,长春市,高新区,43.774448,5,125.259071
吉林省长春市高新区飞跃经典小区,吉林省,长春市,高新区,43.832779,1,125.241211
吉林省长春市高新区吉大南校家属楼,吉林省,长春市,高新区,43.829893,1,125.278054
吉林省长春市九台区龙凤二期,吉林省,长春市,九台区,44.224972,1,125.686569
吉林省长春市九台区工商一条街铁路家属楼,吉林省,长春市,九台区,44.150131,1,125.83828
吉林省长春市二道区力旺康城小区,吉林省,长春市,二道区,43.945663,1,125.370705
吉林省长春市二道区天富北苑,吉林省,长春市,二道区,43.90736,1,125.37458
吉林省长春市宽城区北十条荣旺天下,吉林省,长春市,宽城区,43.917198,1,125.35038
吉林省长春市宽城区金都小镇,吉林省,长春市,宽城区,43.965321,1,125.286697
吉林省长春市经开区首地首城,吉林省,长春市,经开区,43.840981,3,125.411354
吉林省长春市经开区像素公园,吉林省,长春市,经开区,43.849023,1,125.412182
吉林省长春市南关区东岭南街达顺小区,吉林省,长春市,南关区,43.85519,2,125.352364
吉林省四平市公主岭市十屋镇双河村1组,吉林省,四平市,公主岭市,43.821548,1,124.24987
